
STERILE MEDICATIONS,,,,,,,,
Weight Loss,Low Dose - Step 2,6mg Daily,Tirzepatide,Troche,,30,$165.00,$412.50
Weight Loss,Low Dose - Step 3,10mg Daily,Tirzepatide,Troche,,30,$200.00,$500.00
Weight Loss,Low Dose - Step 4,20mg Daily,Tirzepatide,Troche,,30,$230.00,$575.00

PEPTIDES,,,,,,,,
Peptide Therapy,Nasal Spray,Up to 100mg per week,NAD+,Nasal Spray,500mg,5ml,$85.00,$212.50
Peptide Therapy,Cream,2g daily,GHK-Cu (30 Grams) 1.5%,Cream,,,$80.00,$200.00
Peptide Therapy,Cap,500mcg M-F,Sermorelin,Capsule,,,$80.00,$200.00
Peptide Therapy,Troche,1000mcg M-F,Sermorelin,Troche,,,$80.00,$200.00

Anti Parasitic / Anti Fungal,,,,,,,,
Peptide Therapy,CAPSULE,12mg daily,Ivermectin 12mg caps,Capsule,12mg,30 Units,$30.00,$75.00
Peptide Therapy,CAPSULE,100mg daily,Mebendazole 100mg caps,Capsule,100mg,30 Units,$45.00,$112.50

Hair Growth,,,,,,,,
Hair Growth,ODT,Lush Lox (Female),Minoxidil 2.5mg / Biotin 1mg / Vit D3 2000IU / Vit K2 100 mcg ,ODT,,30,Coming Soon,Coming Soon
Hair Growth,ODT,Folicle Fuel 1 (Male),Finasteride 1mg / Minoxidil 2.5mg / Biotin 1mg / Vit D3 2000IU / Vit K2 100mcg,ODT,,30,Coming Soon,Coming Soon
Hair Growth,ODT,Folicle Fuel 2 (Male),Dutasteride 0.5mg / Minoxidil 2.5mg / Biotin 1mg / Vit D3 2000IU / Vit K2 100mcg,ODT,,30,Coming Soon,Coming Soon
Hair Growth,ODT,ReGrow Fuel (Male),Minoxidil 2.5mg/GHK-Cu 5mg/Apigenin 50mg/Fisetin 50mg,ODT,,30,Coming Soon,Coming Soon

ED MEN,,,,,,,,
Sexual Health - Male,PRN,Sildenafil,Sildenafil 25mg,ODT,,6,$25.00,$62.50
Sexual Health - Male,PRN,Sildenafil,Sildenafil 25mg,ODT,,12,$50.00,$125.00
Sexual Health - Male,PRN,Sildenafil,Sildenafil 25mg,ODT,,18,$75.00,$187.50
Sexual Health - Male,PRN,Tadalafil,Tadalafil 10mg,ODT,,6,$25.00,$62.50
Sexual Health - Male,PRN,Tadalafil,Tadalafil 10mg,ODT,,12,$50.00,$125.00
Sexual Health - Male,PRN,Tadalafil,Tadalafil 10mg,ODT,,18,$75.00,$187.50
Sexual Health - Male,PRN,Tri,Tadalafil 20mg / Sildenafil 70mg / Apomorphine 2mg,ODT,,6,$30.00,$75.00
Sexual Health - Male,PRN,Tri,Tadalafil 20mg / Sildenafil 70mg / Apomorphine 2mg,ODT,,12,$60.00,$150.00
Sexual Health - Male,PRN,Tri,Tadalafil 20mg / Sildenafil 70mg / Apomorphine 2mg,ODT,,18,$90.00,$225.00

"PARTIAL CATALOG — PRICING IS A PHARMACY PARTNER LIST, NOT A REMEDORA QUOTE

The pricing shown is the Tier 1 wholesale-style pricing published by a licensed compounding pharmacy partner in Remedora’s partner network, current as of May 2026. Pricing is set by the pharmacy, not Remedora, and volume-based tiers may apply. The tables that follow reflect common categories only. The full catalog is broader and includes additional formulations, dose variants, combination products, and categories not shown. Recipients with interest in products not listed may contact abe@remedora.com.
Availability of any product is subject to federal and state regulatory status, the pharmacy’s licensure, applicable 503A / 503B rules, patient-specific prescription requirements, and clinical appropriateness. See regulatory notes following each category.",,,,,,,,
